domain,domain_url,environment,environment_url,,,
Craftax,https://github.com/MichaelTMatthews/Craftax,,https://raw.githubusercontent.com/MichaelTMatthews/Craftax/main/images/building.gif,single-task,single-agent,open-ended
Kinetix,,,https://github.com/KempnerInstitute/nicewebrl/blob/main/assets/kinetix.gif,multi-task,single-agent,open-ended
Navix (Minigrid),,,https://github.com/KempnerInstitute/nicewebrl/blob/main/assets/navix.gif,multi-task,single-agent,
XLand Minigrid,,,https://github.com/KempnerInstitute/nicewebrl/blob/main/assets/xland_minigrid.gif,multi-task,single-agent,
JaxMARL,https://github.com/FLAIROx/JaxMARL,cramped_room,https://github.com/FLAIROx/JaxMARL/blob/main/docs/imgs/cramped_room.gif,multi-agent,,
JaxMARL,https://github.com/FLAIROx/JaxMARL,multi-agent brax,https://github.com/FLAIROx/JaxMARL/blob/main/docs/imgs/mabrax.png,multi-agent,3D robotics,
JaxMARL,https://github.com/FLAIROx/JaxMARL,storm,https://github.com/FLAIROx/JaxMARL/blob/main/docs/imgs/storm.gif,multi-agent,,
JaxMARL,https://github.com/FLAIROx/JaxMARL,coin_game,https://raw.githubusercontent.com/FLAIROx/JaxMARL/refs/heads/main/docs/imgs/coin_game.png,multi-agent,,
JaxMARL,https://github.com/FLAIROx/JaxMARL,MPE,https://github.com/FLAIROx/JaxMARL/blob/main/docs/imgs/qmix_MPE_simple_tag_v3.gif,multi-agent,,
JaxMARL,https://github.com/FLAIROx/JaxMARL,JaxNav,https://raw.githubusercontent.com/FLAIROx/JaxMARL/refs/heads/main/docs/imgs/jaxnav-ma.gif,multi-agent,,
JaxMARL,https://github.com/FLAIROx/JaxMARL,smax,https://github.com/FLAIROx/JaxMARL/blob/main/docs/imgs/smax.gif?raw=true,multi-agent,,
Jax Goal-conditioned RLL,https://github.com/MichalBortkiewicz/JaxGCRL?tab=readme-ov-file,,https://raw.githubusercontent.com/MichalBortkiewicz/JaxGCRL/master/imgs/push.gif,3D robotics,,
PgX,https://github.com/sotetsuk/pgx,2048,https://raw.githubusercontent.com/sotetsuk/pgx/main/docs/assets/2048_light.gif,planning,,
PgX,https://github.com/sotetsuk/pgx,Animal Shogi,https://raw.githubusercontent.com/sotetsuk/pgx/main/docs/assets/animal_shogi_light.gif,planning,,
PgX,https://github.com/sotetsuk/pgx,Backgammon,https://raw.githubusercontent.com/sotetsuk/pgx/main/docs/assets/backgammon_light.gif,planning,,
PgX,https://github.com/sotetsuk/pgx,Bridge bidding,https://raw.githubusercontent.com/sotetsuk/pgx/main/docs/assets/bridge_bidding_light.gif,planning,,
PgX,https://github.com/sotetsuk/pgx,Chess,https://raw.githubusercontent.com/sotetsuk/pgx/main/docs/assets/chess_light.gif,planning,,
